,Horas,LAT,LNG
1433,04:00:00,-20.2199419,-70.1393996
1447,00:30:00,-20.2285882,-70.144682
1448,01:45:00,-20.2594083,-70.103955
1466,01:50:00,-20.2505749,-70.1303042
1467,00:25:00,-20.238243,-70.1441106
1473,03:00:00,-20.2219267,-70.1424238
1474,04:00:00,-20.2264754,-70.1355632
1480,05:00:00,-20.289536,-70.1313034
1483,05:00:00,-20.2626251,-70.1247655
1492,03:00:00,-20.2355273,-70.1467385
1505,05:00:00,-20.2200573,-70.137266
1509,03:45:00,-20.2464764,-70.1283501
1510,02:30:00,-20.2126575,-70.14924
1512,00:10:00,-20.2194663,-70.1502955
1515,00:40:00,-20.2254544,-70.146027
1532,04:55:00,-20.2865272,-70.1275199
1538,02:15:00,-20.2351843,-70.1472318
1567,06:00:00,-20.2685059,-70.1292876
1572,04:10:00,-20.2285882,-70.144682
1595,04:20:00,-20.2277078,-70.139764
1596,05:40:00,-20.238604,-70.1427771
1597,02:30:00,-20.2143706,-70.1450321
1606,03:35:00,-20.2224134,-70.1492067
1636,05:10:00,-20.2744074,-70.1266336
1637,03:45:00,-20.2135226,-70.1485122
1645,01:30:00,-20.2246898,-70.1408337
1647,03:20:00,-20.2212481,-70.1444875
1650,04:05:00,-20.2409532,-70.1449725
1652,03:20:00,-20.2249004,-70.1370717
1655,02:20:00,-20.2143706,-70.1450321
1658,04:15:00,-20.2307248,-70.1356851
1671,05:50:00,-20.2685026,-70.1293773
1674,05:30:00,-20.2475363,-70.1012622
1685,03:00:00,-20.2720767,-70.1028957
1701,02:20:00,-20.2257613,-70.1371644
1702,03:50:00,-20.2409532,-70.1449725
1712,00:15:00,-20.2124698,-70.1425892
1718,01:00:00,-20.2321264,-70.145627
1719,04:55:00,-20.2508774,-70.1365229
1722,05:20:00,-20.2182922,-70.1521233
1745,05:00:00,-20.2144567,-70.1441315
1751,06:00:00,-20.2725893,-70.1031146
1771,04:10:00,-20.2086726,-70.1445818
1772,03:55:00,-20.2143706,-70.1450321
1775,03:15:00,-20.2897057,-70.1064421
1781,03:50:00,-20.2188278,-70.1436951
1785,01:00:00,-20.2177479,-70.1442373
1788,05:15:00,-20.2201928,-70.1456426
1806,01:05:00,-20.2417381,-70.1341018
1810,02:30:00,-20.2195058,-70.1475571
1828,02:35:00,-20.2185414,-70.1488523
1834,04:05:00,-20.2159126,-70.1528768
1857,05:40:00,-20.2234394,-70.1477687
1859,00:10:00,-20.2685026,-70.1293773
1866,05:30:00,-20.2626251,-70.1247655
1873,05:25:00,-20.2109436,-70.151012
1878,06:00:00,-20.2407485,-70.1424978
1881,01:30:00,-20.2584699,-70.104885
1884,04:45:00,-20.2329027,-70.133599
1885,01:10:00,-20.2629737,-70.103533
1887,06:00:00,-20.255783,-70.128973
1904,00:30:00,-20.2473968,-70.1277176
1907,03:50:00,-20.2128413,-70.1440078
1910,01:00:00,-20.2913348,-70.1046753
1927,04:40:00,-20.2215705,-70.1516964
1938,03:30:00,-20.2117876,-70.1528536
1944,03:40:00,-20.2108542,-70.1513724
1949,04:05:00,-20.2644853,-70.1246063
1954,05:30:00,-20.2847174,-70.1022289
