,Horas,LAT,LNG
3,17:10:00,-20.2199419,-70.1393996
4,17:30:00,-20.2284457,-70.1370139
5,18:20:00,-20.2680481,-70.0992234
7,17:05:00,-20.239015,-70.14459
8,13:30:00,-20.2120381,-70.1524706
17,13:30:00,-20.2102667,-70.1445383
19,17:30:00,-20.2117876,-70.1528536
23,19:00:00,-20.2188278,-70.1436951
24,15:00:00,-20.2243764,-70.14781
25,17:05:00,-20.2449594,-70.126604
29,15:30:00,-20.2897322,-70.1039479
30,15:55:00,-20.2651417,-70.1234944
31,13:29:00,-20.2128747,-70.1432808
34,14:40:00,-20.2121701,-70.1513327
35,15:00:00,-20.2152135,-70.1441964
39,18:10:00,-20.2485799,-70.1307633
44,17:30:00,-20.2734785,-70.1058554
45,16:15:00,-20.2441837,-70.1409449
46,12:50:00,-20.2709329,-70.1063884
47,13:30:00,-20.2796676,-70.0951687
49,15:30:00,-20.5364084,-70.1805181
51,15:10:00,-20.2607342,-70.0941636
52,17:30:00,-20.2862298,-70.0441605
53,12:30:00,-20.277224,-70.0805248
54,17:50:00,-20.2672378,-70.1036395
60,15:30:00,-20.2289498,-70.1369628
64,14:00:00,-20.2722984,-70.1285202
65,16:00:00,-20.2307033,-70.1356692
66,17:55:00,-20.22909,-70.1344354
74,12:30:00,-20.2049745,-70.135743
75,19:00:00,-20.2382135,-70.1286667
76,15:00:00,-20.2632877,-70.1282534
81,16:20:00,-20.2279008,-70.1354882
84,18:00:00,-20.2206303,-70.146763
85,19:00:00,-20.2126118,-70.1528194
86,16:45:00,-20.2093046,-70.151505
88,16:00:00,-20.2297783,-70.1290144
94,14:06:00,-20.2361153,-70.1432496
96,14:40:00,-20.2134898,-70.1310453
97,15:35:00,-20.277,-70.0911341
100,18:50:00,-20.231438,-70.1401785
103,15:20:00,-20.2297964,-70.1422898
104,13:30:00,-20.2325448,-70.1358294
105,15:15:00,-20.2930606,-70.1229349
110,19:00:00,-20.2145966,-70.1428339
112,13:00:00,-20.2524488,-70.1272441
114,14:00:00,-20.2364664,-70.1360525
117,17:30:00,-20.2148322,-70.1389636
123,18:15:00,-20.2516769,-70.1318018
124,12:10:00,-20.231662,-70.1458447
126,16:10:00,-20.2205113,-70.149037
131,18:00:00,-20.2448842,-70.1266914
134,17:40:00,-20.2096708,-70.1507889
138,15:10:00,-20.2788239,-70.0901007
139,15:45:00,-20.2109195,-70.1459124
141,13:15:00,-20.2407401,-70.1408296
142,15:14:00,-20.2158887,-70.154444
143,18:00:00,-20.2897057,-70.1064421
147,17:00:00,-20.2627822,-70.1044301
152,14:55:00,-20.2908205,-70.0950785
155,17:20:00,-20.2080995,-70.1297933
156,15:00:00,-20.2308516,-70.1328405
158,17:45:00,-20.2227905,-70.1396443
159,19:00:00,-20.2373067,-70.139562
160,16:40:00,-20.2190716,-70.1393305
163,13:20:00,-20.2325448,-70.1358294
164,15:55:00,-20.2441837,-70.1409449
166,12:30:00,-20.2432316,-70.1385545
171,13:20:00,-20.2248356,-70.1380641
172,19:00:00,-20.2217183,-70.1444324
173,15:30:00,-20.2195518,-70.1467191
174,14:20:00,-20.2321998,-70.1375756
176,13:00:00,-20.2232761,-70.1513672
179,14:00:00,-20.2441837,-70.1409449
181,16:34:00,-20.2226052,-70.1521698
182,17:24:00,-20.2049594,-70.1369206
183,18:10:00,-20.2213589,-70.1504909
184,16:55:00,-20.2139782,-70.1502769
188,16:20:00,-20.2934495,-70.0914966
190,18:30:00,-20.2612165,-70.1015553
192,16:10:00,-20.2637153,-70.0986734
197,13:05:00,-20.2391737,-70.1417897
198,17:00:00,-20.2662836,-70.127618
199,15:45:00,-20.2331227,-70.1281673
201,18:30:00,-20.2441837,-70.1409449
