,Horas,LAT,LNG
0,07:12:00,-20.2273588,-70.1480139
1,08:00:00,-20.2304174,-70.1387314
2,08:30:00,-20.2330169,-70.1303701
9,08:20:00,-20.2572701,-70.1337646
10,11:40:00,-20.2174291,-70.1503467
11,11:30:00,-20.2243124,-70.149352
15,07:45:00,-20.2637153,-70.0986734
16,07:50:00,-20.2798006,-70.0969386
20,08:00:00,-20.2697311,-70.0953563
21,08:50:00,-20.2691828,-70.1257417
22,08:00:00,-20.2440011,-70.1407861
26,07:30:00,-20.2236518,-70.1423787
28,11:30:00,-20.2289833,-70.136419
33,07:45:00,-20.2277897,-70.1378486
38,07:40:00,-20.2518105,-70.1262557
41,07:42:00,-20.2181521,-70.1495858
42,10:30:00,-20.238243,-70.1441106
43,12:00:00,-20.2291637,-70.1329638
50,07:18:00,-20.2155092,-70.1464884
55,09:00:00,-20.2754099,-70.0942196
57,08:20:00,-20.2753585,-70.1039826
58,12:00:00,-20.2643486,-70.1275076
59,10:45:00,-20.2625059,-70.130789
61,08:34:00,-20.2367218,-70.1381753
62,08:30:00,-20.2086726,-70.1445818
71,09:45:00,-20.263175,-70.122655
73,10:35:00,-20.2699836,-70.1060096
79,06:50:00,-20.2185709,-70.1348905
83,11:00:00,-20.2201278,-70.1361812
91,08:00:00,-20.2444412,-70.1282904
93,07:50:00,-20.2932645,-70.1021307
101,09:45:00,-20.2367763,-70.148507
106,07:30:00,-20.2139981,-70.1493062
108,07:45:00,-20.2443662,-70.129305
113,07:20:00,-20.2441837,-70.1409449
118,09:00:00,-20.2186921,-70.1363192
120,07:45:00,-20.2279008,-70.1354882
122,08:30:00,-20.2127608,-70.1435822
128,10:30:00,-20.2221392,-70.1337018
129,07:55:00,-20.2158425,-70.1344699
130,11:00:00,-20.2236676,-70.1418305
132,07:20:00,-20.2868313,-70.1029781
137,08:30:00,-20.2501879,-70.0988579
140,07:50:00,-20.2172573,-70.1529207
151,07:30:00,-20.2646179,-70.1005485
157,11:00:00,-20.2251061,-70.1498238
161,06:20:00,-20.2198545,-70.1383825
167,06:15:00,-20.2164697,-70.1358582
168,11:30:00,-20.2117876,-70.1528536
170,10:00:00,-20.2517088,-70.1329937
175,06:30:00,-20.2603704,-70.1323614
177,12:00:00,-20.2109307,-70.1514957
180,09:50:00,-20.2245156,-70.150433
186,07:20:00,-20.2443662,-70.129305
187,11:25:00,-20.2086726,-70.1445818
189,08:00:00,-20.2816823,-70.1010988
195,10:10:00,-20.2441837,-70.1409449
196,10:30:00,-20.2478923,-70.1368759
202,08:45:00,-20.2173173,-70.1348591
203,08:30:00,-20.2117876,-70.1528536
207,11:30:00,-20.2289498,-70.1369628
209,10:58:00,-20.2201278,-70.1361812
214,08:10:00,-20.225624,-70.1425042
218,12:00:00,-20.2192287,-70.1515497
235,10:14:00,-20.2278732,-70.1309752
238,10:00:00,-20.2556984,-70.1070161
240,09:00:00,-20.2507163,-70.1279013
242,07:30:00,-20.2379738,-70.1288882
243,11:30:00,-20.2777582,-70.0907546
245,07:30:00,-20.2181701,-70.1551829
248,07:55:00,-20.2233371,-70.1492636
251,11:25:00,-20.2297799,-70.1307042
255,07:00:00,-20.2335765,-70.136325
256,11:00:00,-20.2114919,-70.1486844
260,07:55:00,-20.2240428,-70.1370483
261,08:18:00,-20.2215553,-70.147656
262,07:45:00,-20.2608584,-70.1276117
265,09:15:00,-20.2121701,-70.1513327
266,07:30:00,-20.2163207,-70.1391357
274,08:45:00,-20.2169534,-70.1451921
282,06:00:00,-20.2597791,-70.1298651
283,11:30:00,-20.2441837,-70.1409449
284,10:00:00,-20.2081549,-70.1426093
285,10:50:00,-20.2076006,-70.1438554
294,09:10:00,-20.2176315,-70.1465983
295,08:30:00,-20.227256,-70.1298393
300,12:00:00,-20.2099445,-70.1398778
309,07:15:00,-20.2076006,-70.1438554
322,07:30:00,-20.2519501,-70.1311351
323,10:30:00,-20.2070534,-70.1336067
325,09:00:00,-20.2278732,-70.1309752
329,11:15:00,-20.2638522,-70.0990065
331,11:10:00,-20.2708404,-70.101555
332,09:25:00,-20.2720767,-70.1028957
333,12:00:00,-20.2770696,-70.1076069
339,07:50:00,-20.2223307,-70.1515778
340,07:50:00,-20.2216515,-70.1456323
346,09:00:00,-20.2273588,-70.1480139
348,10:25:00,-20.2175833,-70.1474318
350,07:30:00,-20.2194313,-70.1489375
353,07:30:00,-20.2459453,-70.0963702
357,06:20:00,-20.2742344,-70.1045525
363,09:10:00,-20.2147104,-70.1513996
368,11:30:00,-20.2375058,-70.1298939
374,06:40:00,-20.2278116,-70.1373664
376,08:10:00,-20.2696962,-70.0999508
382,11:00:00,-20.2180007,-70.1392298
387,07:50:00,-20.2327932,-70.135845
398,11:30:00,-20.2593339,-70.0955923
401,11:05:00,-20.2764311,-70.0821131
402,06:30:00,-20.2130258,-70.1520951
412,10:45:00,-20.2105455,-70.134632
416,08:57:00,-20.2049745,-70.135743
418,10:15:00,-20.2348731,-70.143627
427,10:59:00,-20.2441837,-70.1409449
430,12:00:00,-20.2307033,-70.1356692
437,08:45:00,-20.2138472,-70.1440474
438,07:45:00,-20.2199822,-70.1386986
440,10:10:00,-20.230949,-70.142074
444,09:00:00,-20.2489683,-70.1278562
447,11:25:00,-20.2648192,-70.1005699
449,09:50:00,-20.2921898,-70.0932938
454,10:25:00,-20.2248356,-70.1380641
457,11:30:00,-20.2646179,-70.1005485
459,06:23:00,-20.2225978,-70.1444612
463,08:20:00,-20.2642905,-70.0995603
464,09:30:00,-20.2161356,-70.1435283
466,10:30:00,-20.2382195,-70.1367007
467,07:50:00,-20.2599382,-70.1249083
469,09:00:00,-20.213666,-70.1547289
470,08:00:00,-20.2394749,-70.1403552
471,10:25:00,-20.2172573,-70.1529207
474,08:00:00,-20.2155417,-70.1390192
476,07:45:00,-20.2141015,-70.1471935
477,11:45:00,-20.2160773,-70.1487495
480,09:50:00,-20.2201543,-70.1353452
483,09:00:00,-20.234595,-70.1349983
484,09:30:00,-20.2081549,-70.1426093
489,08:10:00,-20.2626251,-70.1247655
493,07:50:00,-20.2300565,-70.1363117
494,11:00:00,-20.2801959,-70.0899558
501,12:00:00,-20.2225972,-70.1350708
504,07:45:00,-20.2482419,-70.1291267
507,11:40:00,-20.247166,-70.1354963
508,10:50:00,-20.2441837,-70.1409449
511,10:25:00,-20.2437241,-70.1389059
512,07:32:00,-20.2602593,-70.125105
515,07:45:00,-20.2638522,-70.0990065
516,07:30:00,-20.2301432,-70.1411798
518,08:10:00,-20.2925294,-70.1251716
520,09:35:00,-20.2903351,-70.0918987
525,11:00:00,-20.2791333,-70.1010024
528,12:00:00,-20.2325404,-70.1427654
