LAT,LNG,COMUNA,Tipo_Accdt,Fallecidos,Graves,Menos_Grav,Leves,Hora,Año,Fecha,X,Y,COD_REG,FID,CUT,IdAccident
-20.2277897,-70.1378486,IQUIQUE,COLISION LATERAL,0,1,0,0,07:45:00,2018,2018/05/16 00:00:00+00,-70.1378486,-20.2277897,1,34,1101,1102044
-20.2121701,-70.1513327,IQUIQUE,COLISION LATERAL,0,0,0,0,14:40:00,2018,2018/05/25 00:00:00+00,-70.1513327,-20.2121701,1,35,1101,1102232
-20.2152135,-70.1441964,IQUIQUE,COLISION LATERAL,0,0,0,1,15:00:00,2018,2018/05/25 00:00:00+00,-70.1441964,-20.2152135,1,36,1101,1102233
-20.2624201,-70.1306229,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,19:40:00,2018,2018/05/25 00:00:00+00,-70.1306229,-20.2624201,1,37,1101,1102234
-20.2161356,-70.1435283,IQUIQUE,CHOQUE LATERAL,0,0,0,0,03:05:00,2018,2018/05/26 00:00:00+00,-70.1435283,-20.2161356,1,38,1101,1102284
-20.2518105,-70.1262557,IQUIQUE,CHOQUE LATERAL,0,0,0,0,07:40:00,2018,2018/05/26 00:00:00+00,-70.1262557,-20.2518105,1,39,1101,1102292
-20.2485799,-70.1307633,IQUIQUE,COLISION LATERAL,0,0,0,1,18:10:00,2018,2018/05/26 00:00:00+00,-70.1307633,-20.2485799,1,40,1101,1102299
-20.2172503,-70.1411928,IQUIQUE,COLISION LATERAL,0,0,0,3,22:50:00,2018,2018/05/27 00:00:00+00,-70.1411928,-20.2172503,1,41,1101,1102324
-20.2181521,-70.1495858,IQUIQUE,CHOQUE LATERAL,0,0,0,0,07:42:00,2018,2018/05/27 00:00:00+00,-70.1495858,-20.2181521,1,42,1101,1102361
-20.238243,-70.1441106,IQUIQUE,ATROPELLO,0,0,0,1,10:30:00,2018,2018/05/27 00:00:00+00,-70.1441106,-20.238243,1,43,1101,1102375
-20.2291637,-70.1329638,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,12:00:00,2018,2018/05/27 00:00:00+00,-70.1329638,-20.2291637,1,44,1101,1102424
-20.2734785,-70.1058554,ALTO HOSPICIO,COLISION,0,0,0,0,17:30:00,2018,2018/05/21 00:00:00+00,-70.1058554,-20.2734785,1,45,1107,1102751
-20.2441837,-70.1409449,IQUIQUE,COLISION POR ALCANCE,0,0,0,1,16:15:00,2018,2018/05/28 00:00:00+00,-70.1409449,-20.2441837,1,46,1101,1102764
-20.2709329,-70.1063884,ALTO HOSPICIO,COLISION,0,0,0,0,12:50:00,2018,2018/05/23 00:00:00+00,-70.1063884,-20.2709329,1,47,1107,1102787
-20.2796676,-70.0951687,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,0,0,0,0,13:30:00,2018,2018/05/23 00:00:00+00,-70.0951687,-20.2796676,1,48,1107,1102794
-20.2600254,-70.1254437,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,02:00:00,2018,2018/05/28 00:00:00+00,-70.1254437,-20.2600254,1,49,1101,1103317
-20.5364084,-70.1805181,IQUIQUE,COLISION LATERAL,0,0,0,0,15:30:00,2018,2018/05/29 00:00:00+00,-70.1805181,-20.5364084,1,50,1101,1103362
-20.2155092,-70.1464884,IQUIQUE,CHOQUE FRONTAL,0,0,0,0,07:18:00,2018,2018/06/10 00:00:00+00,-70.1464884,-20.2155092,1,51,1101,1107012
-20.2607342,-70.0941636,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,0,0,0,0,15:10:00,2018,2018/01/01 00:00:00+00,-70.0941636,-20.2607342,1,52,1107,1066162
-20.2862298,-70.0441605,ALTO HOSPICIO,COLISION,0,0,0,1,17:30:00,2018,2018/01/05 00:00:00+00,-70.0441605,-20.2862298,1,53,1107,1066172
-20.277224,-70.0805248,ALTO HOSPICIO,COLISION,0,0,0,1,12:30:00,2018,2018/05/27 00:00:00+00,-70.0805248,-20.277224,1,54,1107,1103857
-20.2672378,-70.1036395,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,0,0,0,0,17:50:00,2018,2018/05/27 00:00:00+00,-70.1036395,-20.2672378,1,55,1107,1103864
-20.2754099,-70.0942196,ALTO HOSPICIO,COLISION,0,0,0,0,09:00:00,2018,2018/05/28 00:00:00+00,-70.0942196,-20.2754099,1,56,1107,1103887
-20.2201278,-70.1361812,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,19:20:00,2018,2018/05/30 00:00:00+00,-70.1361812,-20.2201278,1,57,1101,1103996
-20.2753585,-70.1039826,ALTO HOSPICIO,CHOQUE POSTERIOR,0,0,0,1,08:20:00,2018,2018/05/30 00:00:00+00,-70.1039826,-20.2753585,1,58,1107,1104155
-20.2643486,-70.1275076,IQUIQUE,CHOQUE POSTERIOR/FRENTE,0,0,0,0,12:00:00,2018,2018/05/31 00:00:00+00,-70.1275076,-20.2643486,1,59,1101,1104160
-20.2625059,-70.130789,IQUIQUE,COLISION LATERAL,0,0,0,0,10:45:00,2018,2018/05/31 00:00:00+00,-70.130789,-20.2625059,1,60,1101,1104172
-20.2289498,-70.1369628,IQUIQUE,COLISION FRONTAL,0,0,0,0,15:30:00,2018,2018/05/31 00:00:00+00,-70.1369628,-20.2289498,1,61,1101,1104185
-20.2367218,-70.1381753,IQUIQUE,COLISION LATERAL,0,0,0,0,08:34:00,2018,2018/05/31 00:00:00+00,-70.1381753,-20.2367218,1,62,1101,1104201
-20.2086726,-70.1445818,IQUIQUE,CHOQUE,0,0,0,0,08:30:00,2018,2018/06/16 00:00:00+00,-70.1445818,-20.2086726,1,63,1101,1108237
-20.2298502,-70.1306589,IQUIQUE,ATROPELLO,0,1,0,0,21:40:00,2018,2018/06/01 00:00:00+00,-70.1306589,-20.2298502,1,64,1101,1104666
-20.2722984,-70.1285202,IQUIQUE,COLISION LATERAL,0,0,0,0,14:00:00,2018,2018/06/01 00:00:00+00,-70.1285202,-20.2722984,1,65,1101,1104671
-20.2307033,-70.1356692,IQUIQUE,CHOQUE LATERAL,0,0,0,0,16:00:00,2018,2018/06/01 00:00:00+00,-70.1356692,-20.2307033,1,66,1101,1104676
-20.22909,-70.1344354,IQUIQUE,ATROPELLO,0,0,0,1,17:55:00,2018,2018/06/01 00:00:00+00,-70.1344354,-20.22909,1,67,1101,1104685
-20.22796,-70.1355547,IQUIQUE,CHOQUE FRONTAL,0,0,0,0,22:00:00,2018,2018/06/01 00:00:00+00,-70.1355547,-20.22796,1,68,1101,1104703
-20.268833,-70.1028797,ALTO HOSPICIO,COLISION FRONTAL,0,0,0,0,20:20:00,2018,2018/01/06 00:00:00+00,-70.1028797,-20.268833,1,69,1107,1066187
-20.2187327,-70.1453448,IQUIQUE,COLISION LATERAL,0,0,0,0,03:50:00,2018,2018/06/02 00:00:00+00,-70.1453448,-20.2187327,1,70,1101,1104861
-20.2364664,-70.1360525,IQUIQUE,CHOQUE FRONTAL,0,0,0,0,04:30:00,2018,2018/06/02 00:00:00+00,-70.1360525,-20.2364664,1,71,1101,1104870
-20.263175,-70.122655,IQUIQUE,CHOQUE LATERAL,0,0,0,0,09:45:00,2018,2018/06/02 00:00:00+00,-70.122655,-20.263175,1,72,1101,1104892
-20.2301504,-70.129747,IQUIQUE,COLISION LATERAL,0,0,0,0,21:50:00,2018,2018/01/07 00:00:00+00,-70.129747,-20.2301504,1,73,1101,1066223
-20.2699836,-70.1060096,ALTO HOSPICIO,COLISION,0,0,0,0,10:35:00,2018,2018/06/03 00:00:00+00,-70.1060096,-20.2699836,1,74,1107,1105055
-20.2049745,-70.135743,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,12:30:00,2018,2018/06/02 00:00:00+00,-70.135743,-20.2049745,1,75,1101,1105079
-20.2382135,-70.1286667,IQUIQUE,COLISION LATERAL,0,0,0,0,19:00:00,2018,2018/06/02 00:00:00+00,-70.1286667,-20.2382135,1,76,1101,1105428
-20.2632877,-70.1282534,IQUIQUE,ATROPELLO,0,0,0,1,15:00:00,2018,2018/12/21 00:00:00+00,-70.1282534,-20.2632877,1,77,1101,1155817
-20.2145966,-70.1428339,IQUIQUE,COLISION LATERAL,0,0,0,0,23:00:00,2018,2018/06/03 00:00:00+00,-70.1428339,-20.2145966,1,78,1101,1105592
-20.2281557,-70.1353667,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,05:30:00,2018,2018/06/03 00:00:00+00,-70.1353667,-20.2281557,1,79,1101,1105600
-20.2185709,-70.1348905,IQUIQUE,ATROPELLO,0,1,0,0,06:50:00,2018,2018/06/03 00:00:00+00,-70.1348905,-20.2185709,1,80,1101,1105616
-20.2495998,-70.106074,ALTO HOSPICIO,COLISION,0,0,0,0,19:20:00,2018,2018/06/05 00:00:00+00,-70.106074,-20.2495998,1,81,1107,1105904
-20.2279008,-70.1354882,IQUIQUE,COLISION POR ALCANCE,0,0,0,1,16:20:00,2018,2018/06/04 00:00:00+00,-70.1354882,-20.2279008,1,82,1101,1106351
-20.2163207,-70.1391357,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,20:40:00,2018,2018/06/05 00:00:00+00,-70.1391357,-20.2163207,1,83,1101,1106494
-20.2201278,-70.1361812,IQUIQUE,COLISION LATERAL,0,0,0,0,11:00:00,2018,2018/06/06 00:00:00+00,-70.1361812,-20.2201278,1,84,1101,1106502
-20.2206303,-70.146763,IQUIQUE,COLISION LATERAL,0,0,0,0,18:00:00,2018,2018/06/06 00:00:00+00,-70.146763,-20.2206303,1,85,1101,1106516
-20.2126118,-70.1528194,IQUIQUE,CHOQUE LATERAL,0,0,0,0,19:00:00,2018,2018/06/08 00:00:00+00,-70.1528194,-20.2126118,1,86,1101,1106684
-20.2093046,-70.151505,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,16:45:00,2018,2018/06/08 00:00:00+00,-70.151505,-20.2093046,1,87,1101,1106689
-20.242826,-70.1402706,IQUIQUE,ATROPELLO,0,1,0,0,20:45:00,2018,2018/06/09 00:00:00+00,-70.1402706,-20.242826,1,88,1101,1106732
-20.2297783,-70.1290144,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,16:00:00,2018,2018/06/09 00:00:00+00,-70.1290144,-20.2297783,1,89,1101,1106965
-20.2080256,-70.1394431,IQUIQUE,CHOQUE FRONTAL,0,0,0,1,20:15:00,2018,2018/06/09 00:00:00+00,-70.1394431,-20.2080256,1,90,1101,1106974
-20.2748303,-70.1266976,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,1,04:30:00,2018,2018/06/09 00:00:00+00,-70.1266976,-20.2748303,1,91,1101,1106987
-20.2444412,-70.1282904,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,08:00:00,2018,2018/06/10 00:00:00+00,-70.1282904,-20.2444412,1,92,1101,1106995
-20.2141015,-70.1471935,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,20:39:00,2018,2018/06/11 00:00:00+00,-70.1471935,-20.2141015,1,93,1101,1107031
-20.2932645,-70.1021307,ALTO HOSPICIO,CHOQUE FRONTAL,0,0,0,0,07:50:00,2018,2018/06/06 00:00:00+00,-70.1021307,-20.2932645,1,94,1107,1107051
-20.2361153,-70.1432496,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,14:06:00,2018,2018/06/11 00:00:00+00,-70.1432496,-20.2361153,1,95,1101,1107260
-20.275428,-70.1057337,ALTO HOSPICIO,COLISION,0,0,0,1,19:30:00,2018,2018/06/09 00:00:00+00,-70.1057337,-20.275428,1,96,1107,1107265
-20.2134898,-70.1310453,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,1,14:40:00,2018,2018/06/11 00:00:00+00,-70.1310453,-20.2134898,1,97,1101,1107328
-20.277,-70.0911341,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,0,0,0,0,15:35:00,2018,2018/06/12 00:00:00+00,-70.0911341,-20.277,1,98,1107,1107647
-20.277224,-70.0805248,ALTO HOSPICIO,CHOQUE FRONTAL,0,0,0,0,03:35:00,2018,2018/06/12 00:00:00+00,-70.0805248,-20.277224,1,99,1107,1107650
-20.2276843,-70.1402925,IQUIQUE,COLISION LATERAL,0,0,0,1,21:20:00,2018,2018/06/13 00:00:00+00,-70.1402925,-20.2276843,1,100,1101,1107676
-20.231438,-70.1401785,IQUIQUE,ATROPELLO,0,0,1,0,18:50:00,2018,2018/06/13 00:00:00+00,-70.1401785,-20.231438,1,101,1101,1108120
-20.2367763,-70.148507,IQUIQUE,CHOQUE POSTERIOR/LADO,0,0,0,0,09:45:00,2018,2018/06/14 00:00:00+00,-70.148507,-20.2367763,1,102,1101,1108137
-20.230949,-70.142074,IQUIQUE,CHOQUE POSTERIOR/FRENTE,0,0,0,0,21:40:00,2018,2018/06/14 00:00:00+00,-70.142074,-20.230949,1,103,1101,1108174
-20.2297964,-70.1422898,IQUIQUE,COLISION,0,0,0,0,15:20:00,2018,2018/06/14 00:00:00+00,-70.1422898,-20.2297964,1,104,1101,1108203
-20.2325448,-70.1358294,IQUIQUE,COLISION,0,0,0,0,13:30:00,2018,2018/06/14 00:00:00+00,-70.1358294,-20.2325448,1,105,1101,1108204
-20.2930606,-70.1229349,IQUIQUE,CHOQUE FRONTAL,0,0,0,0,15:15:00,2018,2018/06/14 00:00:00+00,-70.1229349,-20.2930606,1,106,1101,1108205
