,Horas,LAT,LNG
12,19:50:00,-20.2008047,-70.1331312
13,19:20:00,-20.2416754,-70.1438746
18,20:30:00,-20.2335869,-70.1361448
27,20:30:00,-20.2195518,-70.1467191
32,19:40:00,-20.2399771,-70.1431401
36,19:40:00,-20.2624201,-70.1306229
40,22:50:00,-20.2172503,-70.1411928
56,19:20:00,-20.2201278,-70.1361812
63,21:40:00,-20.2298502,-70.1306589
67,22:00:00,-20.22796,-70.1355547
68,20:20:00,-20.268833,-70.1028797
72,21:50:00,-20.2301504,-70.129747
77,23:00:00,-20.2145966,-70.1428339
80,19:20:00,-20.2495998,-70.106074
82,20:40:00,-20.2163207,-70.1391357
87,20:45:00,-20.242826,-70.1402706
89,20:15:00,-20.2080256,-70.1394431
92,20:39:00,-20.2141015,-70.1471935
95,19:30:00,-20.275428,-70.1057337
99,21:20:00,-20.2276843,-70.1402925
102,21:40:00,-20.230949,-70.142074
107,21:30:00,-20.2314378,-70.1355405
109,19:50:00,-20.2274904,-70.1446933
111,19:10:00,-20.269751,-70.129577
115,20:40:00,-20.2361951,-70.1508536
116,19:25:00,-20.2375795,-70.1397646
121,21:20:00,-20.24159,-70.1430455
125,21:45:00,-20.2147099,-70.1409628
127,20:30:00,-20.217696,-70.1452689
136,20:40:00,-20.2664507,-70.1029387
144,21:00:00,-20.2901059,-70.1042119
145,20:15:00,-20.2250238,-70.1352451
146,20:15:00,-20.2897322,-70.1039479
148,21:00:00,-20.2737165,-70.1043006
149,22:50:00,-20.2925751,-70.1048736
150,20:00:00,-20.2674345,-70.1023813
154,20:40:00,-20.2173901,-70.1534089
165,19:45:00,-20.2865272,-70.1275199
169,20:20:00,-20.2658849,-70.1060772
178,21:30:00,-20.2286265,-70.1438057
185,22:00:00,-20.2402494,-70.131756
191,21:50:00,-20.2686722,-70.1049169
193,20:00:00,-20.2758207,-70.1041298
200,22:30:00,-20.2279008,-70.1354882
205,21:30:00,-20.2279008,-70.1354882
211,20:50:00,-20.2609296,-70.1277043
213,21:30:00,-20.2224028,-70.1348585
217,19:45:00,-20.2638985,-70.1041476
221,21:00:00,-20.239147,-70.132401
223,22:50:00,-20.2307248,-70.1356851
234,21:00:00,-20.2093046,-70.151505
241,19:30:00,-20.2871439,-70.1280914
268,21:00:00,-20.2897322,-70.1039479
276,21:00:00,-20.2154685,-70.1519526
278,22:00:00,-20.2154685,-70.1519526
287,22:10:00,-20.2213589,-70.1504909
289,21:20:00,-20.2441837,-70.1409449
293,23:45:00,-20.250854,-70.1369581
313,21:45:00,-20.2382135,-70.1286667
315,22:30:00,-20.2463435,-70.1265875
317,23:40:00,-20.233422,-70.1275094
338,22:40:00,-20.2109821,-70.1445867
343,20:10:00,-20.2273588,-70.1480139
347,23:00:00,-20.2351843,-70.1472318
352,20:00:00,-20.2129089,-70.1426252
356,19:30:00,-20.2638058,-70.0985843
360,20:05:00,-20.2508756,-70.129321
362,23:20:00,-20.2403094,-70.1312622
364,21:05:00,-20.2307248,-70.1356851
366,19:10:00,-20.2430275,-70.1317441
375,20:30:00,-20.2224369,-70.1529296
379,21:05:00,-20.2893434,-70.10036
381,19:40:00,-20.2812879,-70.1009617
390,20:10:00,-20.2623883,-70.1003647
391,22:05:00,-20.2680266,-70.0961
396,22:50:00,-20.2464084,-70.131271
403,21:30:00,-20.2441837,-70.1409449
404,23:15:00,-20.254525,-70.1292297
408,22:26:00,-20.2109307,-70.1514957
410,22:20:00,-20.2417381,-70.1341018
417,23:45:00,-20.2150055,-70.1470234
419,22:00:00,-20.2449571,-70.131448
421,20:30:00,-20.2532732,-70.1289126
425,20:00:00,-20.296067,-70.1052351
434,20:10:00,-20.2758207,-70.1041298
435,23:30:00,-20.2623883,-70.1003647
445,21:10:00,-20.238243,-70.1441106
475,20:40:00,-20.2210029,-70.1492318
486,19:40:00,-20.2147128,-70.1552289
487,20:45:00,-20.2334863,-70.142298
491,20:40:00,-20.2189238,-70.1420816
496,20:30:00,-20.2229414,-70.1368157
498,21:30:00,-20.265287,-70.123808
503,22:00:00,-20.2110056,-70.1317044
506,20:45:00,-20.2693355,-70.1254094
522,23:55:00,-20.2662643,-70.1027994
536,19:15:00,-20.2556984,-70.1070161
539,20:00:00,-20.2406197,-70.1317376
540,21:20:00,-20.2024249,-70.1365435
541,20:05:00,-20.211688,-70.1519911
542,22:10:00,-20.2711253,-70.1077139
547,23:40:00,-20.2270022,-70.1411668
552,21:15:00,-20.2646179,-70.1005485
559,21:10:00,-20.2132565,-70.150245
560,21:00:00,-20.2224134,-70.1492067
567,20:15:00,-20.2210371,-70.1394955
569,21:30:00,-20.2307248,-70.1356851
571,23:00:00,-20.2462883,-70.1301641
575,20:15:00,-20.241748,-70.1396115
581,22:25:00,-20.2163207,-70.1391357
589,22:30:00,-20.2768081,-70.1043999
590,19:18:00,-20.2108726,-70.1470607
592,21:30:00,-20.2482419,-70.1291267
593,22:15:00,-20.2091555,-70.1304924
594,19:45:00,-20.2144567,-70.1441315
604,20:00:00,-20.2206842,-70.1455402
620,22:30:00,-20.2681601,-70.0960268
624,21:30:00,-20.2718472,-70.1002663
626,21:40:00,-20.2296057,-70.1375401
627,20:30:00,-20.2764584,-70.1018494
631,21:07:00,-20.2386043,-70.1378325
634,21:40:00,-20.2441837,-70.1409449
646,19:30:00,-20.2245156,-70.150433
647,21:45:00,-20.2345649,-70.1323307
656,21:20:00,-20.287989,-70.1059336
659,20:00:00,-20.2076006,-70.1438554
666,22:30:00,-20.29478,-70.1057779
672,20:20:00,-20.2134898,-70.1310453
687,22:40:00,-20.2478069,-70.1258683
693,19:25:00,-20.2879159,-70.1034352
702,19:30:00,-20.2373067,-70.139562
704,22:20:00,-20.2694032,-70.0950931
713,19:45:00,-20.2244134,-70.14698
726,19:40:00,-20.2201543,-70.1353452
751,22:20:00,-20.2722222,-70.0958333
773,19:40:00,-20.214737,-70.1498031
775,19:45:00,-20.2897322,-70.1039479
778,23:10:00,-20.2163207,-70.1391357
782,23:50:00,-20.2911977,-70.0950553
787,23:35:00,-20.2419554,-70.134055
789,19:45:00,-20.2447774,-70.1380065
806,19:30:00,-20.2075662,-70.1425803
808,21:40:00,-20.2915205,-70.1046077
810,20:20:00,-20.2516173,-70.1012153
813,19:20:00,-20.2621146,-70.1256245
818,19:20:00,-20.2489683,-70.1278562
820,19:30:00,-20.2123609,-70.1461272
823,20:30:00,-20.2243231,-70.1331496
829,22:00:00,-20.2171999,-70.1487663
837,23:20:00,-20.2478923,-70.1368759
841,20:15:00,-20.2074623,-70.150092
844,19:30:00,-20.242919,-70.1394306
849,23:00:00,-20.2662643,-70.1027994
850,23:40:00,-20.2506113,-70.1284368
855,21:15:00,-20.2188278,-70.1436951
856,21:25:00,-20.2277543,-70.1383159
859,23:10:00,-20.2501456,-70.1361382
874,19:45:00,-20.2416101,-70.1292154
879,21:16:00,-20.2149281,-70.1568991
892,20:40:00,-20.2925751,-70.1048736
895,21:55:00,-20.2930862,-70.1051893
896,22:40:00,-20.2776152,-70.0986886
897,19:30:00,-20.2728098,-70.0920791
898,22:30:00,-20.2925294,-70.1251716
905,20:10:00,-20.219616,-70.1454426
906,19:15:00,-20.217696,-70.1452689
912,22:50:00,-20.2722788,-70.1097974
918,20:00:00,-20.2483696,-70.1346209
919,22:45:00,-20.2174291,-70.1503467
920,21:20:00,-20.2137936,-70.1449128
925,19:30:00,-20.2743469,-70.0972785
927,19:30:00,-20.2642097,-70.0982043
942,19:50:00,-20.2201543,-70.1353452
944,21:30:00,-20.2204813,-70.149581
961,20:00:00,-20.255713,-70.1342417
962,20:20:00,-20.2201543,-70.1353452
963,20:00:00,-20.2296636,-70.1355265
